Currency_Code,Currency_Full_Name,Symbol,Status,flag
AED,United Arab Emirates Dirham,د.إ,inserted,https://flagcdn.com/w320/ae.png
AFN,Afghan Afghani,؋,inserted,https://flagcdn.com/w320/af.png
ALL,Albanian Lek,L,inserted,https://flagcdn.com/w320/al.png
AMD,Armenian Dram,֏,inserted,https://flagcdn.com/w320/am.png
ANG,Netherlands Antillean Guilder,ƒ,,https://flagcdn.com/w320/am.png
AOA,Angolan Kwanza,Kz,,https://flagcdn.com/w320/ao.png
ARS,Argentine Peso,$,inserted,https://flagcdn.com/w320/ar.png
AUD,Australian Dollar,$,inserted,https://flagcdn.com/w320/au.png
AWG,Aruban Florin,ƒ,inserted,https://flagcdn.com/w320/aw.png
AZN,Azerbaijani Manat,₼,,https://flagcdn.com/w320/az.png
BAM,Bosnia-Herzegovina Convertible Mark,KM,inserted,https://flagcdn.com/w320/ba.png
BBD,Barbadian Dollar,$,inserted,https://flagcdn.com/w320/bb.png
BDT,Bangladeshi Taka,৳,inserted,https://flagcdn.com/w320/bd.png
BGN,Bulgarian Lev,лв,inserted,https://flagcdn.com/w320/bg.png
BHD,Bahraini Dinar,د.ب,inserted,https://flagcdn.com/w320/bh.png
BIF,Burundian Franc,FBu,inserted,https://flagcdn.com/w320/bi.png
BMD,Bermudian Dollar,$,inserted,https://flagcdn.com/w320/bm.png
BND,Brunei Dollar,$,inserted,https://flagcdn.com/w320/bn.png
BOB,Bolivian Boliviano,Bs.,inserted,https://flagcdn.com/w320/bo.png
BRL,Brazilian Real,R$,inserted,https://flagcdn.com/w320/br.png
BSD,Bahamian Dollar,$,inserted,https://flagcdn.com/w320/bs.png
BTN,Bhutanese Ngultrum,Nu.,inserted,https://flagcdn.com/w320/bt.png
BWP,Botswanan Pula,P,inserted,https://flagcdn.com/w320/bw.png
BYN,Belarusian Ruble,Br,,https://flagcdn.com/w320/by.png
BZD,Belize Dollar,BZ$,inserted,https://flagcdn.com/w320/bz.png
CAD,Canadian Dollar,$,inserted,https://flagcdn.com/w320/ca.png
CDF,Congolese Franc,FC,inserted,https://flagcdn.com/w320/cd.png
CHF,Swiss Franc,CHF,inserted,https://flagcdn.com/w320/ch.png
CLP,Chilean Peso,$,inserted,https://flagcdn.com/w320/cl.png
CNY,Chinese Yuan,¥,inserted,https://flagcdn.com/w320/cn.png
COP,Colombian Peso,$,inserted,https://flagcdn.com/w320/co.png
CRC,Costa Rican Colón,₡,inserted,https://flagcdn.com/w320/cr.png
CUP,Cuban Peso,₱,inserted,https://flagcdn.com/w320/cu.png
CVE,Cape Verdean Escudo,$ or Esc,inserted,https://flagcdn.com/w320/cv.png
CZK,Czech Republic Koruna,Kč,inserted,https://flagcdn.com/w320/cz.png
DJF,Djiboutian Franc,Fdj,inserted,https://flagcdn.com/w320/dj.png
DKK,Danish Krone,kr,inserted,https://flagcdn.com/w320/dk.png
DOP,Dominican Peso,RD$,inserted,https://flagcdn.com/w320/do.png
DZD,Algerian Dinar,د.ج,inserted,https://flagcdn.com/w320/dz.png
EGP,Egyptian Pound,£ or ج.م,inserted,https://flagcdn.com/w320/eg.png
ERN,Eritrean Nakfa,Nfk,,https://flagcdn.com/w320/er.png
ETB,Ethiopian Birr,Br,inserted,https://flagcdn.com/w320/et.png
EUR,Euro,€,inserted,https://flagcdn.com/w320/eu.png
FJD,Fijian Dollar,FJ$,inserted,https://flagcdn.com/w320/fj.png
FKP,Falkland Islands Pound,£,,https://flagcdn.com/w320/fk.png
FOK,Faroese Króna,kr,,not Available
GBP,British Pound Sterling,£,inserted,https://flagcdn.com/w320/gb.png
GEL,Georgian Lari,₾,,https://flagcdn.com/w320/ge.png
GHS,Ghanaian Cedi,₵,inserted,https://flagcdn.com/w320/gh.png
GIP,Gibraltar Pound,£,,https://flagcdn.com/w320/gi.png
GMD,Gambian Dalasi,D,inserted,https://flagcdn.com/w320/gm.png
GNF,Guinean Franc,FG,inserted,https://flagcdn.com/w320/gn.png
GTQ,Guatemalan Quetzal,Q,inserted,https://flagcdn.com/w320/gt.png
GYD,Guyanaese Dollar,G$,inserted,https://flagcdn.com/w320/gy.png
HKD,Hong Kong Dollar,$,inserted,https://flagcdn.com/w320/hk.png
HNL,Honduran Lempira,L,inserted,https://flagcdn.com/w320/hn.png
HRK,Croatian Kuna,kn,inserted,https://flagcdn.com/w320/hr.png
HTG,Haitian Gourde,G,inserted,https://flagcdn.com/w320/ht.png
HUF,Hungarian Forint,Ft,inserted,https://flagcdn.com/w320/hu.png
IDR,Indonesian Rupiah,Rp,inserted,https://flagcdn.com/w320/id.png
ILS,Israeli New Sheqel,₪,inserted,https://flagcdn.com/w320/il.png
INR,Indian Rupee,₹,inserted,https://flagcdn.com/w320/in.png
IQD,Iraqi Dinar,ع.د,inserted,https://flagcdn.com/w320/iq.png
IRR,Iranian Rial,﷼,,https://flagcdn.com/w320/ir.png
ISK,Icelandic Króna,kr,inserted,https://flagcdn.com/w320/is.png
JMD,Jamaican Dollar,J$,inserted,https://flagcdn.com/w320/jm.png
JOD,Jordanian Dinar,د.ا,inserted,https://flagcdn.com/w320/jo.png
JPY,Japanese Yen,¥,inserted,https://flagcdn.com/w320/jp.png
KES,Kenyan Shilling,KSh,inserted,https://flagcdn.com/w320/kn.png
KGS,Kyrgystani Som,с,,https://flagcdn.com/w320/kg.png
KHR,Cambodian Riel,៛,inserted,https://flagcdn.com/w320/kh.png
KID,Kiribati Dollar,$,,https://flagcdn.com/w320/ki.png
KMF,Comorian Franc,CF,inserted,https://flagcdn.com/w320/km.png
KRW,South Korean Won,₩,inserted,https://flagcdn.com/w320/kr.png
KWD,Kuwaiti Dinar,د.ك,inserted,https://flagcdn.com/w320/kw.png
KYD,Cayman Islands Dollar,$,inserted,notavailabe
KZT,Kazakhstani Tenge,₸,inserted,https://flagcdn.com/w320/kz.pn
LAK,Laotian Kip,₭,inserted,https://flagcdn.com/w320/la.png
LBP,Lebanese Pound,ل.ل,inserted,https://flagcdn.com/w320/lb.png
LKR,Sri Lankan Rupee,Rs,inserted,https://flagcdn.com/w320/lk.png
LRD,Liberian Dollar,L$,inserted,https://flagcdn.com/w320/li.png
LSL,Lesotho Loti,M,inserted,https://flagcdn.com/w320/li.png
LYD,Libyan Dinar,ل.د,inserted,https://flagcdn.com/w320/li.png
MAD,Moroccan Dirham,د.م.,inserted,https://flagcdn.com/w320/ly.png
MDL,Moldovan Leu,L,inserted,https://flagcdn.com/w320/md.png
MGA,Malagasy Ariary,Ar,inserted,https://flagcdn.com/w320/mg.png
MKD,Macedonian Denar,ден,inserted,https://flagcdn.com/w320/mg.png
MMK,Myanma Kyat,Ks,inserted,https://flagcdn.com/w320/mm.png
MNT,Mongolian Tugrik,₮,,https://flagcdn.com/w320/mn.png
MOP,Macanese Pataca,P,inserted,https://flagcdn.com/w320/mo.png
MRU,Mauritanian Ouguiya,UM,,https://flagcdn.com/w320/mu.png
MUR,Mauritian Rupee,Rs,inserted,https://flagcdn.com/w320/mr.png
MVR,Maldivian Rufiyaa,.ރ,inserted,https://flagcdn.com/w320/mv.png
MWK,Malawian Kwacha,MK,inserted,https://flagcdn.com/w320/mw.png
MXN,Mexican Peso,$,inserted,https://flagcdn.com/w320/mx.png
MYR,Malaysian Ringgit,RM,inserted,https://flagcdn.com/w320/my.png
