symbol,date
XNGSY,2022-12-31
TBL.WA,2022-12-31
VBSN.SW,2022-12-31
1591.HK,2023-03-31
ABZPY,2022-12-31
FGPR,2022-07-31
ULH,2022-12-31
BTG.BK,2022-12-31
PINE,2022-12-31
PRCT,2022-12-31
LEMONTREE.NS,2023-03-31
2429.T,2022-12-31
REMI,2020-03-31
GDL.NS,2021-03-31
DPSM,2013-07-31
1721.HK,2022-12-31
9306.T,2023-03-31
BBB.V,2022-09-30
SR,2023-09-30
AKVA,2016-09-30
PD.TO,2022-12-31
002943.SZ,2022-12-31
BRX.AX,2022-06-30
600212.SS,2022-12-31
HDRPF,2022-12-31
NASI.JK,2022-12-31
IPOD-UN,2021-12-31
SVNBY,2023-03-31
9995.T,2023-03-31
8088.HK,2021-12-31
ADALW,2022-12-31
AXE.V,2022-12-31
QNT.WA,2022-12-31
5331.T,2023-03-31
0688.HK,2022-12-31
AWLCF,2022-12-31
3432.TW,2022-12-31
INOV,2020-12-31
NGI.AX,2023-06-30
1N8.DE,2022-12-31
002235.SZ,2022-12-31
TOMYY,2023-03-31
MTRY,2022-12-31
MH-PC,2022-12-31
1732.TW,2022-12-31
MRK.DE,2022-12-31
WLSI,2010-07-31
LLD.DE,2022-12-31
XPL,2022-12-31
IREN,2023-06-30
BPYPN,2020-12-31
AXNX,2022-12-31
6108.TW,2022-12-31
4194.T,2023-07-31
SIGY,2022-12-31
0IFJ.L,2022-12-31
HDELY,2022-12-31
4286.T,2022-12-31
AIRS,2022-12-31
NLSC,2022-12-31
AMPL,2022-12-31
OMCL,2022-12-31
RX.V,2022-12-31
600616.SS,2022-12-31
CDI.PA,2022-12-31
001680.KS,2022-12-31
VEEV,2023-01-31
FTEV,2021-12-31
IPOF-UN,2021-12-31
0708.HK,2022-12-31
UVFT,2015-09-30
600120.SS,2022-12-31
EGEEN.IS,2022-12-31
PLLWF,2022-12-31
NAE.AX,2023-06-30
KUN.BK,2022-12-31
AWAEF,2022-12-31
BSV.L,2023-03-31
DCD.L,2021-03-31
GHIX,2022-12-31
CPS.V,2022-09-30
0878.HK,2022-12-31
CBAV.MC,2022-12-31
1799.T,2023-03-31
OSX.AX,2022-12-31
WESMF,2022-10-31
00680K.KS,2022-12-31
LSPD.TO,2023-03-31
8181.T,2023-02-28
ABDN.L,2022-12-31
PEXZF,2022-12-31
BYYLF,2022-12-31
BASML.NS,2023-03-31
JROOF,2022-12-31
