symbol,date
WBA,2022-08-31
IDHC.L,2022-12-31
AXAHY,2022-12-31
SHECY,2023-03-31
TOL,2022-10-31
SIETY,2022-12-31
EVO,2022-12-31
2080.SR,2022-12-31
BN,2022-12-31
CSIQ,2022-12-31
SAUHF,2022-12-31
OXUS,2022-12-31
CHRYY,2023-06-30
BUR,2022-12-31
THUPY,2022-12-31
2310.SR,2022-12-31
600988.SS,2022-12-31
HLN,2022-12-31
GPH.L,2023-03-31
NWTN,2022-12-31
BREE.L,2022-12-31
0QDX.IL,2022-12-31
VHT.AX,2023-03-31
BANC,2022-12-31
SPKKY,2023-06-30
CSTE,2022-12-31
NKTR,2022-12-31
VFQS.QA,2022-12-31
ELUXY,2022-12-31
CVAC,2022-12-31
INMD,2022-12-31
FTNT,2022-12-31
ELTK,2022-12-31
ANDAU,2020-12-31
MHGVY,2022-12-31
KMTUY,2023-03-31
LNTH,2022-12-31
2090.SR,2022-12-31
SSREY,2022-12-31
UIE.CO,2022-12-31
AMTD,2022-12-31
ENLT,2021-12-31
8030.SR,2022-12-31
CFRUY,2023-03-31
TRMB,2022-12-30
SATX,2022-12-31
BDNNY,2022-12-31
ALC,2022-12-31
GJNSY,2022-12-31
INCR,2022-12-31
AY,2022-12-31
IREN,2023-06-30
SM,2022-12-31
CHNR,2022-12-31
GXU.V,2022-12-31
0A0L.IL,2023-04-30
ELEZY,2022-12-31
MSA.TO,2022-12-31
GGR,2022-12-31
BNS.TO,2023-10-31
RVSN,2022-12-31
GRAB,2022-12-31
TROW,2022-12-31
AG,2022-12-31
QFBQ.QA,2022-12-31
CHS,2023-01-28
1341.TW,2022-12-31
ARX.AX,2023-03-31
UELKY,2022-12-31
MAREL.IC,2022-12-31
ICCM,2022-12-31
FURCF,2022-12-31
4071.SR,2022-12-31
TAOP,2022-12-31
PLUR,2023-06-30
LWLG,2022-12-31
8250.SR,2022-12-31
6015.SR,2022-12-31
TMR.WA,2022-10-31
GRLA.CO,2022-12-31
AMCR,2023-06-30
RC2.L,2022-12-31
PLAY.IC,2022-12-31
RCKT,2022-12-31
VTKLY,2023-03-31
ALIZY,2022-12-31
RAKE.ST,2022-12-31
SO,2022-12-31
SWDBY,2022-12-31
DTEGY,2022-12-31
SAXPY,2022-12-31
SGSOY,2022-12-31
KHNGF,2022-12-31
DDI,2022-12-31
EKTAY,2023-04-30
LBRT,2022-12-31
CIM-PD,2022-12-31
SUBCY,2022-12-31
RDCM,2022-12-31
NWITY,2022-12-31
BKEAY,2022-12-31
ANYYY,2022-12-31
DASTY,2022-12-31
ESPGY,2022-12-31
DLNG,2022-12-31
KAMBI.ST,2022-12-31
NEXA,2022-12-31
GWCS.QA,2021-12-31
ERF,2022-12-31
PGY,2022-12-31
CEVA,2022-12-31
BABY.TO,2022-12-31
NKE,2023-05-31
ALMER.PA,2022-12-31
SDVKY,2022-12-31
BDWBY,2022-12-31
GCP.L,2022-09-30
BMR,2022-12-31
SAFRY,2022-12-31
YCA.L,2023-03-31
XYIGF,2022-12-31
LTMAY,2022-12-31
ENLAY,2022-12-31
MGIC,2022-12-31
HAGA.IC,2023-02-28
ASPIRE.ST,2021-12-31
PAA,2022-12-31
GOGL,2022-12-31
MNDY,2022-12-31
FPH.AX,2023-03-31
USB,2022-12-31
LVMUY,2022-12-31
GNGBY,2022-12-31
TAVHY,2022-12-31
UNCRY,2022-12-31
KBCSY,2022-12-31
AHI,2023-06-30
GLOG-PA,2022-12-31
BBM.CN,2022-12-31
CEE.TO,2022-12-31
8480.TW,2021-12-31
LLKKF,2022-06-30
AZUL,2022-12-31
UPP.AE,2022-12-31
BHC,2022-12-31
WDS,2022-12-31
GRRR,2022-12-31
ACOPF,2023-06-30
WBX,2022-12-31
AIQUY,2022-12-31
DNN,2022-12-31
STGO.TO,2022-12-31
PHXM,2022-12-31
VWAGY,2022-12-31
BPIRY,2022-12-31
