symbol,date
BOREF,2022-09-30
ANDAU,2020-12-31
TOP,2023-03-31
VHT.AX,2023-03-31
1183.HK,2022-12-31
ALIMO.PA,2022-12-31
BOC.AX,2022-12-31
NKE,2023-05-31
CYBR,2022-12-31
GISS.QA,2022-12-31
ARX.AX,2023-03-31
SCHYY,2022-12-31
ICAGY,2022-12-31
SKFRY,2022-12-31
WELL.TO,2022-12-31
EWBC,2022-12-31
DNBBY,2022-12-31
GRAB,2022-12-31
DNNGY,2022-12-31
IINN,2022-12-31
ERF.TO,2022-12-31
ACIU,2022-12-31
MARA,2022-12-31
UMICY,2022-12-31
CLPHY,2022-12-31
ESTA,2022-12-31
VAL,2022-12-31
WBA,2022-08-31
BANC,2022-12-31
CAP.SN,2022-12-31
SONVY,2023-03-31
SAXPY,2022-12-31
WYNMY,2022-12-31
ITJTY,2022-12-31
DELHY,2022-12-31
WTW,2022-12-31
SNMRY,2022-12-31
MU,2022-09-01
SRAD,2022-12-31
BHMG.L,2022-12-31
CGNT,2023-01-31
INCR,2022-12-31
AGMH,2021-12-31
RSKD,2022-12-31
GNE.AX,2023-06-30
0ZQ.F,2022-12-31
DUFRY,2022-12-31
MS,2022-12-31
VFQS.QA,2022-12-31
BPIRY,2022-12-31
FVRR,2022-12-31
TSLA,2022-12-31
ALFVY,2022-12-31
CGEMY,2022-12-31
BVNKF,2022-12-31
AXAHY,2022-12-31
SSUN.F,2022-12-31
SHIP,2022-12-31
HYSNY,2022-12-31
SHZHY,2022-12-31
HHLA,2022-12-31
TIO,2022-12-31
TRST.L,2022-12-31
JOG.L,2022-12-31
BKEAY,2022-12-31
ZIM,2022-12-31
DANOY,2022-12-31
UDCD.QA,2022-12-31
0422.HK,2022-12-31
TD,2022-10-31
CFRUY,2023-03-31
GF,2022-12-31
OLGERD.IC,2023-02-28
GCPEF,2022-12-31
BHKLY,2022-12-31
OROVY,2022-12-31
KSL.AX,2022-12-31
CRSP,2022-12-31
BUR,2022-12-31
CLPBY,2022-09-30
SST.AX,2022-12-31
1204.HK,2022-12-31
TDCX,2022-12-31
ASTERDM.NS,2023-03-31
INDO,2022-12-31
SKBSY,2022-12-31
AFRI,2022-12-31
ALC,2022-12-31
2448.HK,2022-12-31
TAVHY,2022-12-31
KNYJY,2022-12-31
CIADY,2022-12-31
PSPW,2017-03-31
EDRY,2022-12-31
ELUXY,2022-12-31
HEPS,2022-12-31
THL.AX,2022-06-30
1320.SR,2022-12-31
TCLHF,2022-12-31
IBDRY,2022-12-31
DOHI.QA,2022-12-31
NA.TO,2022-10-31
GXU.V,2022-12-31
AAGIY,2022-12-31
UNCRY,2022-12-31
000426.SZ,2022-12-31
TLPFY,2022-12-31
NKTR,2022-12-31
BRES.QA,2022-12-31
TOL,2022-10-31
SWDBY,2022-12-31
1214.SR,2022-12-31
RDEIY,2022-12-31
IMTE,2022-12-31
SPNT,2022-12-31
CPNG,2022-12-31
BREE.L,2022-12-31
SEPL.L,2022-12-31
IGEX,2017-07-31
NPOF.ME,2021-12-31
IPGGF,2022-12-31
EXK,2022-12-31
ICCM,2022-12-31
BHMU.L,2022-12-31
ARS.L,2022-12-31
CRM.BA,2023-01-31
MELI,2022-12-31
CS.ST,2022-12-31
HKD,2023-04-30
RBA,2022-12-31
BAC,2022-12-31
UBSFY,2023-03-31
GB,2023-03-31
QIGD.QA,2022-12-31
ACOPF,2022-06-30
IMCC,2022-12-31
NTOIY,2022-12-31
RHHBY,2022-12-31
EVVTY,2022-12-31
CHFFY,2022-12-31
NHYDY,2022-12-31
HNNMY,2022-11-30
BTWN,2022-12-31
RQI,2022-12-31
MAZAYA.KW,2022-12-31
INXDF,2022-12-31
BLX,2022-12-31
NWTN,2022-12-31
FDUS,2022-12-31
M8G.DE,2022-12-31
DASTY,2022-12-31
SPKKY,2023-06-30
BSX,2022-12-31
