symbol,date
LILM,2023-03-28
MCY.AX,2023-06-30
GB,2023-06-30
BROG,2023-01-05
NPOF.ME,2021-12-31
HLN,2023-06-30
ENTX,2023-06-30
M8G.DE,2023-06-30
4013.SR,2023-06-30
2266.HK,2022-12-31
QGTS.QA,2023-06-30
CGHLY,2023-03-31
2010.SR,2023-06-30
GOOS.TO,2023-06-30
ENLAY,2023-06-30
QIBK.QA,2023-06-30
RC2.L,2023-06-30
SMX,2022-12-31
GMBL,2023-06-30
SYAXF,2022-06-30
OLGERD.IC,2023-05-31
EVO.AX,2022-12-31
AAZ.L,2022-12-31
CRRFY,2023-06-30
HGKGY,2023-06-30
DNNGY,2023-06-30
RSKD,2023-06-30
CKHUY,2023-06-30
BHKLY,2022-12-31
TLSNY,2023-06-30
ERMAY,2023-06-30
ASPIRE.ST,2022-03-31
MIL.L,2023-03-31
1183.HK,2022-12-31
UMEWF,2022-09-30
2080.SR,2023-06-30
UDCD.QA,2023-06-30
OLLI,2023-07-29
BOREF,2022-09-30
APCA,2023-06-30
CFRUY,2023-03-31
AIA.AX,2023-06-30
GIGM,2023-06-30
TRIG.L,2023-06-30
AMCR,2023-06-30
ESEA,2023-06-30
LNVGY,2023-06-30
SUBCY,2023-06-30
CEVA,2023-06-30
PGEJF,2023-06-30
BBAR,2023-06-30
TIGO,2023-06-30
EVO,2023-06-30
YARIY,2023-06-30
KLIC,2023-09-30
PTXKY,2023-06-30
CBOT.PA,2022-12-31
ICL,2023-06-30
ANSGR.IS,2023-06-30
XRO.AX,2023-03-31
AVHOQ,2021-09-30
IFC.TO,2023-06-30
SRE.L,2023-03-31
VFQS.QA,2023-06-30
BAYRY,2023-03-31
ABCL,2023-06-30
DIB.AE,2023-06-30
KSL.AX,2022-12-31
HLDCY,2022-12-31
LOW,2023-08-04
CIM-PD,2023-06-30
RAI.L,2022-12-31
CAAP,2023-06-30
6004.SR,2023-06-30
AMKBY,2023-06-30
QIGD.QA,2023-06-30
GNTX,2023-06-30
ANYYY,2023-06-30
ACOPF,2023-06-30
LILAK,2023-06-30
GJNSY,2023-06-30
ALVO,2023-06-30
NVNXF,2022-06-30
QEWS.QA,2023-06-30
MPHC.QA,2023-06-30
8030.SR,2023-06-30
TIG.AX,2022-12-31
CHFFY,2022-12-31
IOBT,2023-06-30
INCR,2023-06-30
MAZAYA.KW,2023-03-31
GXU.V,2023-06-30
INXDF,2023-03-31
NEXA,2023-06-30
FPAFY,2022-12-31
KSPI.IL,2023-06-30
ZAM.L,2022-09-30
0OFP.IL,2023-06-30
0486.HK,2023-06-30
BIP-UN.TO,2023-06-30
CHYHY,2023-05-31
JTC.L,2022-12-31
SRAD,2023-06-30
DESP,2023-06-30
PSPW,2017-12-31
GRAB,2023-06-30
GWCS.QA,2023-06-30
HAGA.IC,2023-05-31
AFISH.OL,2022-12-31
SST.AX,2022-12-31
RWLK,2023-06-30
PAGS,2023-06-30
RDEIY,2023-06-30
PXS,2023-06-30
CZMWY,2023-03-31
TOPS,2023-06-30
CHP.JO,2023-06-30
IESVF,2022-12-31
BOIVF,2022-12-31
RBA,2023-06-30
PIFMY,2023-03-31
INOD,2023-06-30
FRHC,2023-03-31
TSEM,2023-06-30
CAMT,2023-06-30
CTTAY,2023-06-30
TARO,2023-06-30
