symbol,date
IREN,2023-06-30
BOIVF,2022-12-31
GTK.AX,2022-09-30
CTM.ST,2023-06-30
DUFRY,2022-12-31
YARIY,2023-06-30
THUPY,2023-06-30
SMWB,2023-06-30
BTWN,2023-06-30
PRME,2023-06-30
BIOX,2023-06-30
SEPL.L,2023-06-30
KAMBI.ST,2023-06-30
GLOG-PA,2023-06-30
TRST.L,2022-12-31
INXDF,2023-03-31
0A0H.IL,2023-06-30
WAVE,2023-03-31
1832.SR,2023-06-30
PTAIY,2023-06-30
INMD,2023-06-30
AIQUY,2022-12-31
QIBK.QA,2023-06-30
WRTBY,2023-06-30
KRNT,2023-06-30
TCLHF,2022-12-31
NRSDY,2023-06-30
MISB.ME,2021-12-31
888.L,2022-12-31
GJNSY,2023-06-30
QFLS.QA,2022-12-31
SAP.TO,2023-06-30
ACIU,2023-06-30
AY,2023-06-30
OP,2023-06-30
MDXH,2023-06-30
PXS,2023-06-30
NU,2023-06-30
CCEP,2023-03-31
MEGL,2022-12-31
JCSE,2022-12-31
FCSS.L,2018-09-30
SPNS,2023-06-30
ON,2023-06-30
BRNE,2015-03-31
NOVA.IC,2023-06-30
SCHYY,2014-12-31
NPK.TO,2023-06-30
ANSGR.IS,2023-06-30
SSREY,2019-06-30
AFRI,2022-03-31
BHMG.L,2018-06-30
ESTA,2023-06-30
ICE,2023-06-30
PGEJF,2023-06-30
AKBTY,2023-06-30
600988.SS,2023-06-30
VRDR,2023-03-31
FLOT.ME,2021-12-31
GISS.QA,2023-06-30
GIGM,2023-06-30
EVVTY,2023-06-30
VBLT,2023-06-30
SCMWY,2023-06-30
DAC,2023-06-30
LBTYA,2023-06-30
BORR,2023-06-30
KSPI.IL,2023-06-30
SILC,2023-06-30
CLPS,2022-12-31
RACE,2023-06-30
IMTE,2022-12-31
AUOTY,2023-06-30
USB,2023-06-30
1150.SR,2023-06-30
ARASE.IS,2022-03-31
GMS,2023-07-31
0ZQ.F,2023-03-31
ARION-SDB.ST,2023-06-30
ALLT,2023-06-30
HLPPY,2018-06-30
DRTS,2023-06-30
NGMS,2023-06-30
SIMINN.IC,2023-03-31
BLDP,2023-06-30
