"Symbol","Price","Beta","VolAvg","MktCap","LastDiv","Range","Changes","companyName","currency","cik","isin","cusip","exchange","exchangeShortName","industry","website","description","CEO","sector","country","fullTimeEmployees","phone","address","city","state","zip","DCF_diff","DCF","image","ipoDate","defaultImage","isEtf","isActivelyTrading","isFund","isAdr"
"LAHAV.TA",352.1,0.84394,50990,87625364490,0.17,"268.0-532.0",-8.5,"Lahav LR Real Estate Ltd","ILA",,,,"Tel Aviv","TLV","Real Estate Services","https://lahavgroup.co.il","Lahav LR Real Estate Ltd. engages in the real estate and renewable green energy business in Israel and Germany. Its real estate properties include commercial centers and hotels. The company also produces electricity through solar energy. It owns 89 small photovoltaic power generation facilities and one medium-sized photovoltaic generation facility with aggregate capacity of 4.8 megawatts. The company was formerly known as S.R. Overseas Investments Ltd. and changed its name to Lahav LR Real Estate Ltd. in January 2012. Lahav LR Real Estate Ltd. was incorporated in 1963 and is based in Herzliya, Israel.","Mr. Yoram  Eyal","Real Estate","IL","2328","972 9 952 7700","Europark Yakum. Italy building","Herzliya",,"609720",,0,"https://financialmodelingprep.com/image-stock/LAHAV.TA.png","2008-11-25",true,false,true,false,false
"SMT.TA",4955,0.99763,67666,366124473279,0.51,"3615.0-6794.0",-156,"Summit Real Estate Holdings Ltd","ILA",,"IL0010816861",,"Tel Aviv","TLV","Real Estate Services","https://www.smt.co.il","Summit Real Estate Holdings Ltd is a real estate investment firm specializing in the purchase and operation of office buildings and commercial assets, which are leased to numerous commercial and industrial tenants. Summit Real Estate Holdings Ltd was founded in 1965 and is headquartered in Haifa, Israel.","Mr. Amir  Sagi","Real Estate","IL","122","972 4 840 8091","66 Hahistadrut Avenue","Haifa",,,,0,"https://financialmodelingprep.com/image-stock/SMT.TA.png","2002-06-30",false,false,true,false,false
"BWAY.TA",532.2,0.257278,69612,17650891858,0,"272.0-1014.0",43,"BrainsWay Ltd.","ILA",,,,"Tel Aviv","TLV","Medical Devices","https://www.brainsway.com","Brainsway Ltd. develops and sells noninvasive neurostimulation treatments for mental health disorders in the United States, Europe, Israel, and internationally. It offers Deep Transcranial Magnetic Stimulation platform technology for the treatment of major depressive disorders, anxious depression, obsessive-compulsive disorders, smoking addiction, bipolar disorders, post traumatic stress disorders, schizophrenia, Alzheimer's disease, autism, chronic pain, multiple sclerosis, post stroke rehabilitation, and Parkinson's diseases. The company primarily serves doctors, hospitals, and medical centers in the field of psychiatry. Brainsway Ltd. was founded in 2003 and is headquartered in Jerusalem, Israel.","Mr. Hadar  Levy","Healthcare","IL","134","972 2 582 4030","Bynet Building","Jerusalem",,"9777518",,0,"https://financialmodelingprep.com/image-stock/BWAY.TA.png","2007-03-28",true,false,true,false,false
"TRAN.TA",141.7,0,361819,2706710788,0,"25.5-580.0",-14.4,"Trucknet Enterprise Ltd","ILA",,,,"Tel Aviv","TLV","Software—Application","https://trucknet.io","Trucknet Enterprise Ltd develops cloud-based transport optimization platform for fleet management companies. The company offers Trucknet platform that automatically matches empty vehicles to subcontractor requests from other companies; Transport Management Systems, an internal schedule software for transportation companies; Driver Interface, a mobile application for the driver; Tracker, a mobile application for end-to-end delivery; and Trucknet Telematics, a central interface for different telematics systems. The company was founded in 2016 and is based in Tel Aviv-Yafo, Israel.","Mr. Hanan  Fridman","Technology","IL",,"972 7 797 09090","Ben Avigdor St 10","Tel Aviv",,,,0,"https://financialmodelingprep.com/image-stock/TRAN.TA.png","2021-03-25",true,false,true,false,false
"QNCO.TA",260,0.869668,6002,7806968127,1756.902023,"250.0-607.8",-14.2,"Y.Z. Queenco Ltd.","ILA",,,,"Tel Aviv","TLV","Resorts & Casinos","https://www.queenco.com","Y.Z. Queenco Ltd. operates casinos in Greece and Cambodia. The company owns and operates a casino, which includes 31 gaming tables that comprises roulette, blackjack, control, poker games, and 310 slot machines, as well as 298 gaming machines covering an area of 3,000 square meters; and a hotel comprising 33 suites, 2 restaurants, a bar, and a pool located on the island of Rhodes in Greece. It also operates Queenco Casino with a total number of 20 gaming tables and 162 gaming machines; and a 5-star hotel, which comprises 199 rooms, restaurant, cafes, pool, spa, ballroom, and gym located in Sihanovill, Cambodia. The company was incorporated in 1992 and is based in Bnei Brak, Israel.","Mr. Yariv  Lerner","Consumer Cyclical","IL","648","972 3 756 6555","Bar Kochba 16","Bnei Brak",,"5126107",,0,"https://financialmodelingprep.com/image-stock/QNCO.TA.png","2000-02-01",true,false,true,false,false
"KARE.TA",399.8,0.804333,291345,73865843559,0.19,"305.0-464.7",-10.1,"Kardan Real Estate Enterprise and Development Ltd","ILA",,,,"Tel Aviv","TLV","Real Estate Services","https://www.kardan-nadlan.co.il","Kardan Real Estate Enterprise and Development Ltd plans, constructs, develops, builds, and manages residential building and income-producing properties in Israel. It develops projects in the field of residential, office, hotel, commercial, etc.; and rents office buildings, commercial areas, and a parking lot, as well as undertakes urban renewal projects. The company was incorporated in 1988 and is based in Tel Aviv, Israel. Kardan Real Estate Enterprise and Development Ltd is a subsidiary of Cardan Israel Ltd.","Mr. Eyal  Ohev Zion","Real Estate","IL",,"972 3 689 1200","Cardan Tower","Tel Aviv",,"6492107",,0,"https://financialmodelingprep.com/image-stock/KARE.TA.png","2010-11-09",true,false,true,false,false
"ZMH.TA",2455,0.824306,12293,49154009067,0.82,"1881.0-3665.0",-74,"Z.M.H Hammerman Ltd","ILA",,,,"Tel Aviv","TLV","Real Estate—Development","https://www.zhg.co.il","Z.M.H Hammerman Ltd operates as a real estate company in Israel. It develops, constructs, and executes residential, high-tech, commercial, office, factory, and industrial building projects. The company was incorporated in 1997 and is based in Hadera, Israel.","Mr. Haim  Feiglin","Real Estate","IL","170","972 7 6531 5800","Prof. Dan Shechtman 10","Hadera",,"3811001",,0,"https://financialmodelingprep.com/image-stock/ZMH.TA.png","2008-08-24",true,false,true,false,false
"CPIA.TA",78.6,0,1005861,10790836560,0,"0.234-88.7",-4.3,"Cipia Vision Ltd","ILA",,"IL0011819328",,"Tel Aviv","TLV","","https://cipia.com","Cipia Vision Ltd. develops embedded computer vision solutions for various devices worldwide. It offers Driver Sense, a driver monitoring system; Cabin Sense, an occupancy monitoring system; and Cipia-FS10, a driver monitoring and video telematics device for fleets. The company was formerly known as Eyesight Technologies Ltd. and changed its name to Cipia Vision Ltd. in December 2020. Cipia Vision Ltd. was founded in 2005 and is based in Herzliya, Israel.","Mr. Yehuda  Holtzman","","IL","55","972 7 75047760","8 Maskit Street","Herzliya",,"4673308",,0,"https://financialmodelingprep.com/image-stock/CPIA.TA.png","2021-11-25",false,false,true,false,false
"LAPD.TA",6847,0.76371,16005,446375115362,0.65,"4886.0-7777.0",-153,"Lapidoth Capital Ltd","ILA",,,,"Tel Aviv","TLV","Oil & Gas E&P","https://www.lapidoth.co.il","Lapidoth Capital Ltd, together with its subsidiaries, provides drilling and related services in Israel. The company is involved in the design and operation of onshore oil, gas, and water drilling and production activities; and provision of auxiliary services related to exploration and production, such as drilling, downhole geophysical logging, cementation, perforation, CCTV monitoring, production, petrophysics, reservoir engineering, logistics, research drilling, and soil sampling. It also offers wireline equipment and services for oil, gas, and water wells, as well as for mineral and geotechnical boreholes. In addition, the company engages in oil and gas exploration and production activities. Further, it holds interest in the Heletz field located in Israel. Additionally, the company trades in consumer goods, such as apparel, sporting and outdoor goods, footwear, watches, accessories, and jewelry; invests in marketable securities and real estate properties; provides capital market transactions; and distributes Samsung mobile phones. The company was incorporated in 1959 and is based in Tel Aviv-Yafo, Israel.","Mr. Amir  Tirosh","Energy","IL","34","972 3 641 7241","19 Brodetsky Street","Tel Aviv",,"6905130",,0,"https://financialmodelingprep.com/image-stock/LAPD.TA.png","2002-08-12",true,false,true,false,false
"EMCO.TA",857.8,0.500338,7220,380170955,0.32,"605.0-1180.0",0.1,"E & M Computing Ltd.","ILA",,,,"Tel Aviv","TLV","Information Technology Services","https://emet.co.il","E & M Computing Ltd. provides cloud, information systems, and data-center technologies in Israel. It offers a range of services, which include professional services, data, big-data, and analytics, hyperscale cloud, business continuity, cyber security, software, hosted IT, rack-scale systems, and data center technologies solutions, as well as networking, OEM, and outsourcing solutions. The company was incorporated in 1984 and is headquartered in Ramat Gan, Israel.","Mr. Yoram  Noiman","Technology","IL","1242","972 3 576 6999","6 Hahilazon Street","Ramat Gan",,"5252270",,0,"https://financialmodelingprep.com/image-stock/EMCO.TA.png","2000-02-01",true,false,true,false,false
