symbol,date
NVA.WA,2022-12-31
DSWL,2023-03-31
6050.T,2022-09-30
PAYC,2022-12-31
603729.SS,2022-12-31
AYEN.IS,2022-12-31
HITECHCORP.NS,2023-03-31
HML.CN,2022-12-31
AYUR.CN,2022-06-30
ELLWEE.ST,2022-12-31
PURVA.NS,2023-03-31
GCN.WA,2021-12-31
3563.T,2022-09-30
CMFO,2012-12-31
GMALF,2022-12-31
603699.SS,2022-12-31
PHO.AX,2022-06-30
FLY.PA,2022-12-31
CRPG6.SA,2022-12-31
2883.TW,2022-12-31
INGR.ME,2020-12-31
688004.SS,2022-12-31
002480.SZ,2022-12-31
033250.KS,2022-06-30
PRTI.CN,2021-12-31
WATR.L,2022-12-31
BGP.NZ,2023-01-31
MACC-UN,2021-12-31
ZGYH,2021-06-30
SCC.TA,2022-12-31
ELIO,2017-12-31
002861.SZ,2022-12-31
BSHVF,2022-12-31
2327.T,2023-03-31
OSWALAGRO.NS,2023-03-31
DGO.V,2022-07-31
FRLA,2022-12-31
300274.SZ,2022-12-31
ALZCUR.ST,2022-12-31
FAG.ST,2022-12-31
1126.HK,2022-12-31
VAGN.CN,2021-12-31
MEIP,2022-06-30
VEIL.L,2022-12-31
2695.T,2022-10-31
MDWK,2022-12-31
TRIVENI.NS,2023-03-31
603618.SS,2022-12-31
NVLG.TA,2022-12-31
VWAGY,2022-12-31
VITX,2018-09-30
IVBT,2022-08-31
NAOV,2022-12-31
LMS.L,2022-12-31
QIGD.QA,2022-12-31
VER.VI,2022-12-31
BGHL.AS,2022-12-31
035510.KS,2022-12-31
HMA,2022-12-31
0459.HK,2022-12-31
DGS.TO,2022-12-31
GBUX,2008-12-31
DCFC,2022-06-30
1560.TW,2022-12-31
SKLN.TA,2022-12-31
FOUR.L,2022-12-31
CRARY,2022-12-31
NSE.AS,2021-12-31
OEWA.DE,2022-12-31
5101.T,2022-12-31
8217.HK,2023-03-31
STQN,2022-12-31
HCTI,2022-12-31
1414.TW,2022-12-31
VAL,2022-12-31
SUP,2022-12-31
8159.T,2023-03-31
HFBK,2022-12-31
SML.L,2022-12-31
TOWN,2022-12-31
DII-B.TO,2022-12-31
001500.KS,2022-12-31
DHY,2022-10-31
004920.KS,2022-12-31
RNST,2022-12-31
002214.SZ,2022-12-31
9964.T,2022-03-31
6038.HK,2022-12-31
6093.HK,2022-12-31
CLH.JO,2022-06-30
FCF,2022-12-31
GSUN,2022-09-30
ABI.V,2022-06-30
3135.T,2022-06-30
EQD-UN,2021-12-31
FUL.L,2022-03-31
JAZZ,2022-12-31
SOLT.ST,2022-12-31
PBAINFRA.NS,2023-03-31
8086.HK,2022-06-30
0641.HK,2022-12-31
ARG.AX,2023-06-30
CVN.AX,2023-06-30
7040.SR,2023-03-31
8657.HK,2022-12-31
GDXRF,2022-12-31
HBLN.SW,2022-12-31
LOVE.V,2022-08-31
SOU.V,2022-12-31
KAKATCEM.NS,2023-03-31
9516.SR,2022-12-31
ALB,2022-12-31
IMII,2022-12-31
SLRX,2022-12-31
VAISHALI.NS,2023-03-31
